symbol,label,market,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,pnl_cash,pnl_r,exit_reason,setup_type,entry_trigger,stop_rule,target_rule,actual_source_refs,bundle_support_refs,legacy_source_refs,explanation
SPY,SPDR S&P 500 ETF,US,short,2026-03-30T12:30:00-04:00,2026-03-30T14:15:00-04:00,635.2700,632.3514,39.0000,103.9350,2.0000,target_hit,signal_bar_entry_placeholder,placeholder confirmation for short entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for short; 待确认保护性止损位置与无效化处理,initial target for short; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar downward progression with falling highs/lows; bar 11 closed below the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
SPY,SPDR S&P 500 ETF,US,short,2026-03-30T14:30:00-04:00,2026-03-30T15:15:00-04:00,632.2900,629.5300,39.0000,97.7964,2.0000,target_hit,signal_bar_entry_placeholder,placeholder confirmation for short entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for short; 待确认保护性止损位置与无效化处理,initial target for short; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar downward progression with falling highs/lows; bar 19 closed below the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
SPY,SPDR S&P 500 ETF,US,short,2026-03-31T11:00:00-04:00,2026-03-31T11:00:00-04:00,638.6900,640.4900,39.0000,-80.1762,-1.0000,stop_hit,signal_bar_entry_placeholder,placeholder confirmation for short entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for short; 待确认保护性止损位置与无效化处理,initial target for short; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar downward progression with falling highs/lows; bar 5 closed below the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
SPY,SPDR S&P 500 ETF,US,long,2026-03-31T15:45:00-04:00,2026-03-31T15:45:00-04:00,650.1700,649.3500,38.0000,-41.0362,-1.0000,stop_hit,signal_bar_entry_placeholder,placeholder confirmation for long entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for long; 待确认保护性止损位置与无效化处理,initial target for long; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar upward progression with rising highs/lows; bar 24 closed above the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
SPY,SPDR S&P 500 ETF,US,short,2026-04-01T14:00:00-04:00,2026-04-01T14:15:00-04:00,656.7900,654.3160,38.0000,84.0446,2.0000,target_hit,signal_bar_entry_placeholder,placeholder confirmation for short entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for short; 待确认保护性止损位置与无效化处理,initial target for short; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar downward progression with falling highs/lows; bar 17 closed below the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
SPY,SPDR S&P 500 ETF,US,long,2026-04-01T15:30:00-04:00,2026-04-01T15:45:00-04:00,656.1000,654.9700,38.0000,-52.9036,-1.0000,stop_hit,signal_bar_entry_placeholder,placeholder confirmation for long entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for long; 待确认保护性止损位置与无效化处理,initial target for long; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar upward progression with rising highs/lows; bar 23 closed above the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
SPY,SPDR S&P 500 ETF,US,long,2026-04-02T10:45:00-04:00,2026-04-02T15:45:00-04:00,656.0400,655.8800,16.0000,-6.7584,-0.0269,end_of_data,signal_bar_entry_placeholder,placeholder confirmation for long entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for long; 待确认保护性止损位置与无效化处理,initial target for long; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar upward progression with rising highs/lows; bar 4 closed above the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
SPY,SPDR S&P 500 ETF,US,short,2026-04-06T13:15:00-04:00,2026-04-06T13:30:00-04:00,656.0500,657.9900,38.0000,-83.7064,-1.0000,stop_hit,signal_bar_entry_placeholder,placeholder confirmation for short entry; 当前只确认 close-adjacent / breakout-adjacent 的最小 entry 语义，不引入新的自动执行逻辑,protective stop for short; 待确认保护性止损位置与无效化处理,initial target for short; 待确认初始目标、measured move 或分批出场规则,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,wiki:knowledge/wiki/concepts/market-cycle-overview.md | wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md | wiki:knowledge/wiki/rules/m3-research-reference-pack.md | wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt-1-36-units.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | wiki:knowledge/wiki/sources/al-brooks-price-action-ppt.md,"research-only placeholder setup triggered after three-bar downward progression with falling highs/lows; bar 14 closed below the prior close with a directional body in a trend context; actual knowledge refs: wiki:knowledge/wiki/concepts/market-cycle-overview.md, wiki:knowledge/wiki/setups/signal-bar-entry-placeholder.md, wiki:knowledge/wiki/rules/trend-vs-range-filter-minimal.md, wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md; knowledge trace: concept atom--000c21b0fa567ea4 @ chunk_set[3] | setup atom--339abd6106df72a7 @ chunk_set[4]"
