bucket,candidate_schema_version,candidate_status,data_checksum,data_lineage,data_path,direction,hypothetical_entry_price,hypothetical_quantity,hypothetical_stop_price,hypothetical_target_price,is_current_scan_date,latest_price,latest_price_source,notes,queue_action,review_status,risk_level,signal_date,signal_time,simulated_context,simulated_intraday_pnl,simulated_intraday_return_percent,simulated_state,source_refs,spec_ref,strategy_id,strategy_title,symbol,timeframe,has_news_or_earnings_event,news_event_effect,news_direction_alignment,news_priority,high_risk_pause
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,9b44ace0e135c4a6c70d7beee21365defd879e849460aea9f7c5548bb4cea0dd,native_current_session_5m_cache,local_data/longbridge_intraday/us_QQQ_5m_2026-04-30_2026-04-30_longbridge.csv,看跌,657.8300,66.8271,665.3120,651.1180,true,663.06,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:35:00,readonly_observation_candidate,-349.51,-0.35,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,QQQ,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,2991c4cf74e729005aa1d60ffc1e3c50bab5b161e2a6eace38bbf3314d54e632,native_current_session_5m_cache,local_data/longbridge_intraday/us_IWM_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,274.0000,320.5128,272.4400,275.4500,true,275.94,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:20:00,readonly_observation_candidate,621.79,0.62,触及目标参考,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,IWM,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,8431c6655ad5d27b6ba0cb794e78260d347691869c340950219b04e259de74d0,native_current_session_5m_cache,local_data/longbridge_intraday/us_DIA_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,492.7300,220.6531,490.4640,494.9710,true,495.89,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,low,2026-04-30,2026-04-30T10:05:00,readonly_observation_candidate,697.26,0.70,触及目标参考,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,DIA,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,127b6a40a96c95fc0a95b2d37b6255d9cfa1c569ad9b66c0375b50841a71ec4d,native_current_session_5m_cache,local_data/longbridge_intraday/us_VTI_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,352.0300,259.0674,350.1000,353.7800,true,352.24,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T11:05:00,readonly_observation_candidate,54.40,0.05,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,VTI,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,808e4248fb525cb070bb7b3ca65231d40f62bfd65cbf414d80c62bda03d85326,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLK_5m_2026-04-30_2026-04-30_longbridge.csv,看跌,157.4200,224.2152,159.6500,155.2400,true,158.44,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:05:00,readonly_observation_candidate,-227.58,-0.23,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLK,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,721f33be55f3c5c0db19b3d223e4308238641cd79bb9f5b51e25bf9c3488a1ba,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLF_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,52.0450,591.7160,51.2000,52.7400,true,52.10,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-30,2026-04-30T10:15:00,readonly_observation_candidate,32.54,0.03,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLF,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,watch_candidate,306bd6e58e8e3e3e0d0b8272de6290a4eb6d0f707571bfdd9d717182fc9b703c,native_daily_cache,local_data/longbridge_history/us_XLE_1d_2010-06-29_2026-04-30_longbridge.csv,看跌,57.9350,425.5319,59.1100,55.5850,true,59.69,longbridge_quote_readonly,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.,eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-30,2026-04-30T16:00:00-04:00,readonly_observation_candidate,-746.81,-0.75,触及止损参考,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,M10-PA-001,趋势回调二次入场,XLE,1d,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,19a595a0f10bd215bbc74735f25d59f0d20448d12b51017d028ef914df5dbaca,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLE_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,59.2350,384.6154,57.9350,60.4600,true,59.69,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-30,2026-04-30T10:30:00,readonly_observation_candidate,175.00,0.18,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLE,5m,false,none,,普通,false
今日新扫描机会,m12.daily-candidate.v1,trigger_candidate,306bd6e58e8e3e3e0d0b8272de6290a4eb6d0f707571bfdd9d717182fc9b703c,native_daily_cache,local_data/longbridge_history/us_XLE_1d_2010-06-29_2026-04-30_longbridge.csv,看涨,59.73,279.3296,57.94,63.31,true,59.69,longbridge_quote_readonly,日线市场周期和信号K确认同时出现；只做模拟观察。,eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T16:00:00-04:00,readonly_observation_candidate,-11.17,-0.01,观察中,wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf;wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md;raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/daily_observation/m12_12_loop/m12_12_formal_daily_strategy_spec.json,M12-FTD-001,方方土日线趋势顺势信号K,XLE,1d,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,36de52e5b233ece0e4854adc1c2ebf59e06943f2e704a722d040475f1d39e53e,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLV_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,144.9950,383.1418,143.6900,146.0400,true,145.96,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:05:00,readonly_observation_candidate,367.82,0.37,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLV,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,watch_candidate,c287297089a1104377354e4b8089a1430799560f65db78b9f9ae2fa1804f0e75,native_daily_cache,local_data/longbridge_history/us_XLI_1d_2010-06-29_2026-04-30_longbridge.csv,看涨,174.1800,101.0101,169.2300,184.0800,true,174.08,longbridge_quote_readonly,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.,eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-30,2026-04-30T16:00:00-04:00,readonly_observation_candidate,-10.10,-0.01,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,M10-PA-001,趋势回调二次入场,XLI,1d,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,dc0dd43be29b341c8ac96f7f3178c62769252d8e877f151b019fc7872694db44,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLI_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,172.8300,325.7329,171.2950,174.3350,true,174.08,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:05:00,readonly_observation_candidate,407.17,0.41,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLI,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,637e98cc7bb160e3e400fa60d3084ad39366fd1bcd2dafdcca4055caaca10f66,native_daily_cache,local_data/longbridge_history/us_XLP_1d_2010-06-29_2026-04-30_longbridge.csv,看涨,84.0800,555.5556,83.1800,85.8800,true,84.06,longbridge_quote_readonly,20-bar breakout proxy matched; follow-through still needs bar-close observation.,eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T16:00:00-04:00,readonly_observation_candidate,-8.33,-0.01,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015D_breakouts_second_leg_traps_strong_breakouts.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015A_breakouts_definition_80_rule_reversal_tr.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015B_breakouts_follow_through_reversal_small_start.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记-突破.pdf;raw:knowledge/raw/notes/方方土视频笔记-突破.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-002.json,M10-PA-002,突破后续跟进,XLP,1d,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,0772bc7ff9ca925b06293a56a72843b721e66b6b81b3a1938700abc316d602fb,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLP_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,84.1750,502.5126,83.1800,85.0350,true,84.06,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:15:00,readonly_observation_candidate,-55.28,-0.06,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLP,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,4e348ea1e09f7e425a87b59d7cb01548cb97c83a2d60c997d47bcaca51adb41e,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLU_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,46.6300,1052.6316,46.1550,47.0000,true,46.60,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:15:00,readonly_observation_candidate,-26.32,-0.03,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLU,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,bd0f0fbe28722c4bb515d64cf0f3f7cc11d3e171f1af91523ead6e77856e74eb,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLC_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,115.2950,840.3361,114.7000,115.8200,true,115.61,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:45:00,readonly_observation_candidate,264.71,0.26,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLC,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,b2f8e449e9994469df4142c60467cc53fc035f6a035c40547c1458a2df634c0b,native_current_session_5m_cache,local_data/longbridge_intraday/us_XLB_5m_2026-04-30_2026-04-30_longbridge.csv,看涨,51.0700,1851.8519,50.8000,51.3350,true,51.42,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-30,2026-04-30T10:10:00,readonly_observation_candidate,657.41,0.66,触及目标参考,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,XLB,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,d44f3d1f3c4b8324a4d9c70824d0af6b4e239fa6f7bbdac9d0831b0f1bdbd5d9,native_current_session_5m_cache,local_data/longbridge_intraday/us_SMH_5m_2026-04-30_2026-04-30_longbridge.csv,看跌,495.2200,50.8751,505.0480,487.0920,true,502.96,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-30,2026-04-30T10:35:00,readonly_observation_candidate,-393.52,-0.39,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,SMH,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,8649fca2a342c4b6f4cb74bc13fe5c93e1ad3b283a216dd8e92e818defc03ec3,native_current_session_5m_cache,local_data/longbridge_intraday/us_SOXX_5m_2026-04-30_2026-04-30_longbridge.csv,看跌,449.6200,71.4796,456.6150,443.6450,true,457.44,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-30,2026-04-30T10:35:00,readonly_observation_candidate,-558.97,-0.56,触及止损参考,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,SOXX,5m,false,none,,普通,false
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,aa83ec5277cc6e0959878a5f8b06901afe0fbefb018142789ef57a59ec2551f4,native_current_session_5m_cache,local_data/longbridge_intraday/us_TQQQ_5m_2026-04-30_2026-04-30_longbridge.csv,看跌,60.7750,236.4066,62.8900,58.8850,true,62.24,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-30,2026-04-30T10:35:00,readonly_observation_candidate,-345.63,-0.35,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,TQQQ,5m,false,none,,普通,false
