schema_version,stage,generated_at,symbol,market,strategy_id,strategy_title,timeframe,candidate_status,signal_direction,bar_timestamp,entry_price,stop_price,target_price,risk_per_share,risk_level,queue_action,source_refs,spec_ref,data_lineage,data_path,data_checksum,review_status,notes
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,NVDA,US,M10-PA-012,Opening Range Breakout,15m,trigger_candidate,short,2026-04-21T11:55:00,200.7200,202.7500,198.8100,2.0300,medium,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,derived_from_5m,local_data/longbridge_intraday/us_NVDA_5m_2024-04-01_2026-04-21_longbridge.csv,b10ee0cb7e5109c86cb7376d95aa2226c23a822f8a429ca7f8f8970e090ffbc4,needs_read_only_bar_close_review,"Opening range breakout proxy found in recorded local cache; observe only, no execution."
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,NVDA,US,M10-PA-012,Opening Range Breakout,5m,trigger_candidate,short,2026-04-21T11:55:00,200.7200,202.7500,198.8100,2.0300,medium,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,native_5m_cache,local_data/longbridge_intraday/us_NVDA_5m_2024-04-01_2026-04-21_longbridge.csv,b10ee0cb7e5109c86cb7376d95aa2226c23a822f8a429ca7f8f8970e090ffbc4,needs_read_only_bar_close_review,"Opening range breakout proxy found in recorded local cache; observe only, no execution."
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,QQQ,US,M10-PA-001,Trend Pullback Second-Entry Continuation,1d,watch_candidate,short,2026-04-21T16:00:00-04:00,642.2100,650.0000,626.6300,7.7900,medium,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,native_daily_cache,local_data/longbridge_history/us_QQQ_1d_1990-01-01_2026-04-21_longbridge.csv,24ca4f817a19675b2fa3c78de1d3d5b08fca279ab37a62f79d644390296c6dcf,needs_read_only_bar_close_review,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,QQQ,US,M10-PA-012,Opening Range Breakout,5m,trigger_candidate,long,2026-04-22T10:10:00,651.1400,648.5200,653.0200,2.6200,low,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,native_5m_cache,local_data/longbridge_intraday/us_QQQ_5m_2024-04-01_2026-04-22_longbridge.csv,c92be26d8407e513d8dbe52478fa522eb7730c10d109f2a252ff761eb21ffb72,needs_read_only_bar_close_review,"Opening range breakout proxy found in recorded local cache; observe only, no execution."
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,SPY,US,M10-PA-001,Trend Pullback Second-Entry Continuation,15m,watch_candidate,short,2026-04-22T11:05:00,709.2900,710.7000,706.4700,1.4100,low,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,derived_from_5m,local_data/longbridge_intraday/us_SPY_5m_2024-04-01_2026-04-22_longbridge.csv,e70a784f8e241e8cfdd1e6fbabb0ebc35ca49f8287d007d5370c73c71e5195cb,needs_read_only_bar_close_review,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,SPY,US,M10-PA-001,Trend Pullback Second-Entry Continuation,1d,watch_candidate,short,2026-04-21T16:00:00-04:00,702.6400,712.3900,683.1400,9.7500,medium,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,native_daily_cache,local_data/longbridge_history/us_SPY_1d_1990-01-01_2026-04-21_longbridge.csv,0db6e045a1bd06c4493da954961bb3a3d5ea1d6585e4cb136f9d69c61f38c5f7,needs_read_only_bar_close_review,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,SPY,US,M10-PA-001,Trend Pullback Second-Entry Continuation,5m,watch_candidate,long,2026-04-22T11:05:00,710.2200,709.2900,712.0800,0.9300,low,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,native_5m_cache,local_data/longbridge_intraday/us_SPY_5m_2024-04-01_2026-04-22_longbridge.csv,e70a784f8e241e8cfdd1e6fbabb0ebc35ca49f8287d007d5370c73c71e5195cb,needs_read_only_bar_close_review,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,SPY,US,M10-PA-012,Opening Range Breakout,5m,trigger_candidate,long,2026-04-22T10:05:00,709.5100,708.2200,710.7700,1.2900,low,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,native_5m_cache,local_data/longbridge_intraday/us_SPY_5m_2024-04-01_2026-04-22_longbridge.csv,e70a784f8e241e8cfdd1e6fbabb0ebc35ca49f8287d007d5370c73c71e5195cb,needs_read_only_bar_close_review,"Opening range breakout proxy found in recorded local cache; observe only, no execution."
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,TSLA,US,M10-PA-001,Trend Pullback Second-Entry Continuation,15m,watch_candidate,short,2026-04-21T15:55:00,385.8200,390.6000,376.2600,4.7800,medium,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,derived_from_5m,local_data/longbridge_intraday/us_TSLA_5m_2024-04-01_2026-04-21_longbridge.csv,a01c338300522c0a6447b5e5a0abe675b35f97183be6b73c81a1a9be202dab25,needs_read_only_bar_close_review,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,TSLA,US,M10-PA-001,Trend Pullback Second-Entry Continuation,1d,watch_candidate,short,2026-04-21T16:00:00-04:00,385.2200,409.2800,337.1000,24.0600,high,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,native_daily_cache,local_data/longbridge_history/us_TSLA_1d_2010-06-29_2026-04-21_longbridge.csv,74199571b3f678d1e71f634882c16da6c2a143bc792fa11618d8b6b36a5296ac,needs_read_only_bar_close_review,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,TSLA,US,M10-PA-012,Opening Range Breakout,15m,trigger_candidate,short,2026-04-21T12:25:00,388.3690,393.3800,384.0690,5.0110,medium,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,derived_from_5m,local_data/longbridge_intraday/us_TSLA_5m_2024-04-01_2026-04-21_longbridge.csv,a01c338300522c0a6447b5e5a0abe675b35f97183be6b73c81a1a9be202dab25,needs_read_only_bar_close_review,"Opening range breakout proxy found in recorded local cache; observe only, no execution."
m12.scanner-candidate.v1,M12.5.liquid_universe_scanner,2026-04-27T11:18:36Z,TSLA,US,M10-PA-012,Opening Range Breakout,5m,trigger_candidate,short,2026-04-21T11:00:00,388.6300,393.3800,384.3300,4.7500,medium,eligible_for_read_only_observation,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,native_5m_cache,local_data/longbridge_intraday/us_TSLA_5m_2024-04-01_2026-04-21_longbridge.csv,a01c338300522c0a6447b5e5a0abe675b35f97183be6b73c81a1a9be202dab25,needs_read_only_bar_close_review,"Opening range breakout proxy found in recorded local cache; observe only, no execution."
