direction,entry_price,entry_timestamp,exit_price,exit_reason,exit_timestamp,plain_reason,pnl,signal_timestamp,stop_price,strategy_id,symbol,target_price
short,667.2500,2012-08-31T16:00:00-04:00,680.8700,stop_hit,2012-09-07T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-508.80,2012-08-30T16:00:00-04:00,680.8700,M10-PA-004,AAPL,640.0100
long,571.9100,2012-11-20T16:00:00-05:00,522.6200,stop_hit,2012-12-06T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-502.38,2012-11-19T16:00:00-05:00,522.6200,M10-PA-004,AAPL,670.4900
long,553.8200,2013-01-02T16:00:00-05:00,501.2300,stop_hit,2013-01-14T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-499.75,2012-12-31T16:00:00-05:00,501.2300,M10-PA-004,AAPL,659.0000
long,510.3100,2013-01-17T16:00:00-05:00,498.5100,stop_hit,2013-01-18T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-500.50,2013-01-16T16:00:00-05:00,498.5100,M10-PA-004,AAPL,533.9100
long,426.3600,2013-04-09T16:00:00-04:00,419.0000,stop_hit,2013-04-17T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-504.40,2013-04-08T16:00:00-04:00,419.0000,M10-PA-004,AAPL,441.0800
short,458.6400,2013-08-09T16:00:00-04:00,471.8900,stop_hit,2013-08-13T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-501.51,2013-08-08T16:00:00-04:00,471.8900,M10-PA-004,AAPL,432.1400
short,560.9000,2013-12-09T16:00:00-05:00,569.1900,stop_hit,2013-12-09T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-502.26,2013-12-06T16:00:00-05:00,569.1900,M10-PA-004,AAPL,544.3200
short,588.6300,2014-05-16T16:00:00-04:00,604.4100,stop_hit,2014-05-19T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-496.72,2014-05-15T16:00:00-04:00,604.4100,M10-PA-004,AAPL,557.0700
short,118.5500,2015-02-09T16:00:00-05:00,120.5100,stop_hit,2015-02-10T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-497.72,2015-02-06T16:00:00-05:00,120.5100,M10-PA-004,AAPL,114.6300
long,108.5800,2015-12-30T16:00:00-05:00,105.5700,stop_hit,2015-12-31T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-492.72,2015-12-29T16:00:00-05:00,105.5700,M10-PA-004,AAPL,114.6000
long,101.5200,2016-01-25T16:00:00-05:00,93.4200,stop_hit,2016-01-27T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-487.95,2016-01-22T16:00:00-05:00,93.4200,M10-PA-004,AAPL,117.7200
short,108.9100,2016-04-08T16:00:00-04:00,112.1900,stop_hit,2016-04-13T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-487.60,2016-04-07T16:00:00-04:00,112.1900,M10-PA-004,AAPL,102.3500
short,171.1800,2017-11-16T16:00:00-05:00,173.9700,max_holding_exit,2017-12-15T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-271.66,2017-11-15T16:00:00-05:00,176.2400,M10-PA-004,AAPL,161.0600
short,168.9900,2019-02-08T16:00:00-05:00,175.0800,stop_hit,2019-02-25T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-492.90,2019-02-07T16:00:00-05:00,175.0800,M10-PA-004,AAPL,156.8100
long,189.9100,2019-05-16T16:00:00-04:00,182.8500,stop_hit,2019-05-20T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-495.11,2019-05-15T16:00:00-04:00,182.8500,M10-PA-004,AAPL,204.0300
short,218.4300,2019-10-03T16:00:00-04:00,226.4200,stop_hit,2019-10-04T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-497.68,2019-10-02T16:00:00-04:00,226.4200,M10-PA-004,AAPL,202.4500
short,244.7600,2019-10-30T16:00:00-04:00,246.7300,stop_hit,2019-10-31T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-504.72,2019-10-29T16:00:00-04:00,246.7300,M10-PA-004,AAPL,240.8200
short,263.6900,2019-11-21T16:00:00-05:00,267.4300,stop_hit,2019-11-27T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-496.87,2019-11-20T16:00:00-05:00,267.4300,M10-PA-004,AAPL,256.2100
short,363.9500,2020-07-24T16:00:00-04:00,399.8200,stop_hit,2020-07-31T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-493.35,2020-07-23T16:00:00-04:00,399.8200,M10-PA-004,AAPL,292.2100
short,120.5000,2020-12-10T16:00:00-05:00,125.3900,stop_hit,2020-12-15T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-492.29,2020-12-09T16:00:00-05:00,125.3900,M10-PA-004,AAPL,110.7200
short,132.3600,2021-04-21T16:00:00-04:00,135.0000,stop_hit,2021-04-23T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-493.94,2021-04-20T16:00:00-04:00,135.0000,M10-PA-004,AAPL,127.0800
short,144.8100,2021-07-28T16:00:00-04:00,150.0000,stop_hit,2021-08-16T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-489.28,2021-07-27T16:00:00-04:00,150.0000,M10-PA-004,AAPL,134.4300
short,177.8300,2022-01-03T16:00:00-05:00,182.1300,stop_hit,2022-01-03T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-488.12,2021-12-31T16:00:00-05:00,182.1300,M10-PA-004,AAPL,169.2300
short,147.9200,2022-07-19T16:00:00-04:00,151.7400,stop_hit,2022-07-20T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-495.13,2022-07-18T16:00:00-04:00,151.7400,M10-PA-004,AAPL,140.2800
long,145.8200,2022-11-11T16:00:00-05:00,144.4900,max_holding_exit,2022-12-12T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-59.18,2022-11-10T16:00:00-05:00,134.3700,M10-PA-004,AAPL,168.7200
short,189.9200,2023-11-27T16:00:00-05:00,191.9100,stop_hit,2023-11-29T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-512.92,2023-11-24T16:00:00-05:00,191.9100,M10-PA-004,AAPL,185.9400
short,194.6500,2024-06-07T16:00:00-04:00,195.3200,stop_hit,2024-06-07T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-368.27,2024-06-06T16:00:00-04:00,195.3200,M10-PA-004,AAPL,193.3100
short,207.7200,2024-06-24T16:00:00-04:00,220.2000,stop_hit,2024-07-02T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-505.41,2024-06-21T16:00:00-04:00,220.2000,M10-PA-004,AAPL,182.7600
short,228.9200,2024-07-12T16:00:00-04:00,229.4000,stop_hit,2024-07-12T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-230.23,2024-07-11T16:00:00-04:00,229.4000,M10-PA-004,AAPL,227.9600
short,268.3250,2025-11-04T16:00:00-05:00,274.1400,stop_hit,2025-11-11T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-516.89,2025-11-03T16:00:00-05:00,274.1400,M10-PA-004,AAPL,256.6950
short,56.1900,2013-12-04T16:00:00-05:00,57.9900,stop_hit,2013-12-13T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-503.17,2013-12-03T16:00:00-05:00,57.9900,M10-PA-004,ADBE,52.5900
long,62.0000,2014-04-09T16:00:00-04:00,61.1000,stop_hit,2014-04-11T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-504.29,2014-04-08T16:00:00-04:00,61.1000,M10-PA-004,ADBE,63.8000
long,61.6900,2014-05-01T16:00:00-04:00,59.6200,stop_hit,2014-05-06T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-497.86,2014-04-30T16:00:00-04:00,59.6200,M10-PA-004,ADBE,65.8300
short,64.5400,2014-06-02T16:00:00-04:00,66.3100,stop_hit,2014-06-06T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-496.11,2014-05-30T16:00:00-04:00,66.3100,M10-PA-004,ADBE,61.0000
short,89.6600,2015-11-16T16:00:00-05:00,91.8700,stop_hit,2015-11-19T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-494.18,2015-11-13T16:00:00-05:00,91.8700,M10-PA-004,ADBE,85.2400
short,118.3000,2017-02-24T16:00:00-05:00,120.1700,stop_hit,2017-03-01T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-494.01,2017-02-23T16:00:00-05:00,120.1700,M10-PA-004,ADBE,114.5600
short,181.1800,2017-11-16T16:00:00-05:00,184.4400,stop_hit,2017-11-21T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-490.76,2017-11-15T16:00:00-05:00,184.4400,M10-PA-004,ADBE,174.6600
short,198.0800,2018-01-25T16:00:00-05:00,198.2100,stop_hit,2018-01-25T16:00:00-05:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-82.70,2018-01-24T16:00:00-05:00,198.2100,M10-PA-004,ADBE,197.8200
short,213.7200,2018-03-28T16:00:00-04:00,231.3400,stop_hit,2018-04-17T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-483.67,2018-03-27T16:00:00-04:00,231.3400,M10-PA-004,ADBE,178.4800
short,244.4000,2018-05-30T16:00:00-04:00,245.9000,stop_hit,2018-05-30T16:00:00-04:00,这是亏损或未达目标样例，用于下一轮检查是否需要继续收紧。,-495.73,2018-05-29T16:00:00-04:00,245.9000,M10-PA-004,ADBE,241.4000
